metric,estimate,ci_lower_95,ci_upper_95,bootstrap_repetitions
multiclass_macro_f1,0.4256040516897594,0.4218445949581624,0.4296320460445692,1000
multiclass_balanced_accuracy,0.518688756858296,0.5085520228919815,0.5289706303574775,1000
prediabetes_recall,0.25377969762419006,0.22567494600431964,0.2818574514038877,1000
diabetes_recall,0.6453529494978073,0.6329042297354647,0.6563905785825435,1000
multiclass_macro_roc_auc_ovr,0.7616251829265138,0.7557214040583334,0.7681443548439167,1000
binary_roc_auc,0.8285926177826042,0.8237106331666746,0.8333578940309717,1000
binary_pr_auc,0.4293533028515068,0.4193717286084445,0.44170160587493384,1000
binary_recall,0.5898995614655538,0.5777302305842411,0.6012201159994341,1000
binary_precision,0.386468952734013,0.3798123510731556,0.393458723296558,1000
binary_f1,0.46699143289097933,0.45895123709340363,0.47487488049208015,1000
