feature,importance_mean,importance_std,feature_family
HvyAlcoholConsump,0.002376253919823527,0.0014768231854322496,lifestyle
Sex,0.002285396396054092,0.001960501188697288,demographics
bmi_highbp_interaction,0.0015552360812658983,0.0009938263145813583,engineered interactions
PhysActivity,0.0006434993978784442,0.0007571780978089613,lifestyle
PhysHlth,0.0006156235621716152,5.8415679802507325e-05,general health burden
poor_general_health_flag,0.0003689391567990308,0.0003572944232384546,general health burden
Smoker,0.00036225551860180616,0.00042781391334899694,lifestyle
CholCheck,0.00031697074002412506,0.00037961634255762896,healthcare access
Stroke,0.0003068315447766201,0.00030687031064872565,cardiometabolic history
socioeconomic_risk_count,0.00026237893734643025,0.00038286788069671174,socioeconomic status
obese_flag,0.00022155267896138234,0.00014776067533343746,BMI/obesity
smoking_inactivity_combo,0.00018245851985304595,0.0005878657201847031,engineered interactions
low_income_flag,9.804076614761126e-05,4.122453423298935e-05,socioeconomic status
overweight_or_obese_flag,-4.9479539156497644e-05,6.226903299734981e-06,BMI/obesity
healthcare_access_barrier,-4.96631381702121e-05,0.0002531114661419298,healthcare access
high_physical_distress_flag,-7.18782803212914e-05,0.00017973503240155706,general health burden
HeartDiseaseorAttack,-7.468912846656887e-05,0.0004303779124099222,cardiometabolic history
Fruits,-7.545405634451496e-05,0.00045394256037123855,lifestyle
physical_inactivity_flag,-9.97430139868712e-05,0.00012661347332628564,lifestyle
low_education_flag,-0.00010555702726796252,0.0001521916538775011,socioeconomic status
older_adult_flag,-0.0002133438349698665,0.0003608641088553285,demographics
bmi_category,-0.00023904222089371485,0.0005381366108439942,BMI/obesity
preventive_screening_gap,-0.00028029272945386446,0.00018264652564184744,healthcare access
high_mental_distress_flag,-0.0003088209664476871,0.00030773568334920015,general health burden
age_band,-0.00034474613000251564,0.00011101514468332354,demographics
bmi_highchol_interaction,-0.00045723403788766603,0.0008508159594598943,engineered interactions
diet_inactivity_combo,-0.000501245380012986,0.00036972813087509103,engineered interactions
AnyHealthcare,-0.0005259252517513987,0.00015218533684438566,healthcare access
cardio_event_history,-0.0005446002933942965,0.0005500169597242376,cardiometabolic history
Veggies,-0.0006286114283953944,0.0006284207225789052,lifestyle
healthy_diet_flag,-0.0007157004797448222,0.00046844047191748196,lifestyle
NoDocbcCost,-0.000911041473814748,0.000254429239938404,healthcare access
limited_functioning_flag,-0.0009619306837372147,0.0003377076099290504,general health burden
DiffWalk,-0.000998692856684617,0.00016595964025362827,general health burden
HighBP,-0.0010537798630946282,0.00031471036571065414,cardiometabolic history
unhealthy_lifestyle_count,-0.001055056304565427,0.0007405470493639295,lifestyle
MentHlth,-0.0012215163908255537,0.0003502769195718576,general health burden
Income,-0.001388289861478505,0.000991043964075829,socioeconomic status
BMI,-0.0014140694108505196,0.0006968614789776724,BMI/obesity
cardiometabolic_count,-0.0014912723109686277,0.0010381452805562068,cardiometabolic history
bp_cholesterol_combo,-0.001559138936359561,0.0005346261482779519,cardiometabolic history
HighChol,-0.001607196600943106,0.0005231541332593385,cardiometabolic history
GenHlth,-0.0016718440889599284,0.0018238641233267428,general health burden
Education,-0.0017903113296421174,0.000819970706734715,socioeconomic status
income_education_interaction,-0.0018086722316386823,0.0002609631816575398,engineered interactions
total_unhealthy_days,-0.002104652813797736,0.0016065774489357454,general health burden
cholcheck_with_highchol_flag,-0.0021700912509662698,0.00037600760214834007,healthcare access
bmi_age_interaction,-0.003164099904564529,0.0016515785396083033,engineered interactions
Age,-0.0034917634916156923,0.0003622538068786675,demographics
age_cardiometabolic_interaction,-0.004814479691089631,0.001075659029463573,engineered interactions
age_bmi_interaction,-0.005284424095475489,0.0011995072209376944,engineered interactions
health_burden_score,-0.00640246491338257,0.0013294348390627832,general health burden
