model,fold,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece
Logistic Regression,1,0.6288333333333334,0.4093918884102849,0.4733615312695217,0.647675568743818,0.2018348623853211,0.5705741626794258,0.9520209363186973,0.01936619718309859,0.33473684210526317,0.7476853286753197,0.8828771292905245,0.49506275859242777,0.08587046955936087
ExtraTrees,1,0.7771666666666667,0.4468721770551039,0.48019283238690136,0.8229475766567754,0.01834862385321101,0.5992822966507177,0.9165014320334876,0.024096385542168676,0.3635703918722787,0.7479594277603573,0.5567615097390183,0.316658954316181,0.06592280331115277
XGBoost — engineered features,1,0.7093333333333334,0.42787585596613714,0.48662146628660324,0.7289812067260139,0.05504587155963303,0.6758373205741627,0.9369438087973557,0.019867549668874173,0.32011331444759206,0.7542452353271418,0.6546434164047241,0.38054508853778424,0.015436908394098293
XGBoost — original features,1,0.7008333333333333,0.4294411021514489,0.49223206507965517,0.7198813056379822,0.09174311926605505,0.6650717703349283,0.9374034003091191,0.025510204081632654,0.32213209733487835,0.7469892948454454,0.6836166977882385,0.3945851387920038,0.023014882768193898
Logistic Regression,2,0.6228333333333333,0.41188461021030426,0.49990227553103034,0.6439169139465876,0.3211009174311927,0.534688995215311,0.9525899912203687,0.02749410840534171,0.34122137404580155,0.7541513021270035,0.8693185348753555,0.4890920679723472,0.09416301487427636
ExtraTrees,2,0.7701666666666667,0.43598157215715805,0.4631136381329453,0.8231454005934719,0.01834862385321101,0.5478468899521531,0.9093094405594405,0.018867924528301886,0.34749620637329287,0.731776295456633,0.5566704258256502,0.3179304688934253,0.05944628050161566
XGBoost — engineered features,2,0.7075,0.4291405016567615,0.48754561434046534,0.733728981206726,0.10091743119266056,0.6279904306220095,0.930506773707978,0.03303303303303303,0.3123140987507436,0.728653684444684,0.6577867269515991,0.3807061359269569,0.018539037376642246
XGBoost — original features,2,0.6951666666666667,0.42853297843338717,0.4962985217420137,0.7173095944609298,0.13761467889908258,0.6339712918660287,0.9338140612928149,0.03731343283582089,0.30903790087463556,0.7304360486588477,0.6849300265312195,0.39426110355354604,0.029213024149338407
Logistic Regression,3,0.6203333333333333,0.41775445412914447,0.5061523425789353,0.6268302334784329,0.2636363636363636,0.6279904306220095,0.9556561085972851,0.02422723475355054,0.3528225806451613,0.768148806371153,0.8944092959166148,0.5039421856814318,0.08630742698116214
ExtraTrees,3,0.7755,0.4517281907115495,0.48512789149908264,0.8209339137316977,0.03636363636363636,0.5980861244019139,0.9193441169953468,0.044444444444444446,0.35790980672870437,0.7452563957204719,0.5627875849707625,0.3229886997117505,0.07049355471981213
