dimension,group,n,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall
age_group,35-54 approx.,18711,0.43622112818232317,0.5229150031392881,0.7582998905508939,0.25,0.5604451188669701
age_group,55-69 approx.,17766,0.39688201299437403,0.4910673974015001,0.5010852264505861,0.25380710659898476,0.7183098591549296
age_group,70+ approx.,6608,0.3202141752867713,0.4275414717362902,0.33821519234524505,0.30434782608695654,0.6400613967766692
age_group,18-34 approx.,7651,0.43314397501360175,0.4515795598777601,0.9451849836779108,0.11666666666666667,0.2928870292887029
sex,Male,22527,0.4165418478945228,0.5100533531177839,0.6284920677314246,0.2271604938271605,0.6745074977947663
sex,Female,28209,0.43278655547435224,0.5239645096561645,0.6791007493755205,0.2744721689059501,0.6183206106870229
income_group,Higher,26762,0.4302218776077127,0.5078361530523089,0.7784478787117309,0.20857142857142857,0.5364891518737672
income_group,Middle,16547,0.39968629229997993,0.5079299244157648,0.5406147906147906,0.30277777777777776,0.680397204854726
income_group,Lower,7427,0.3804205792752722,0.466612196876478,0.4095626389918458,0.24537037037037038,0.7449035812672177
education_group,College graduate,21505,0.43007469523573016,0.5154354483685613,0.7644878354390727,0.24579124579124578,0.5360272638753651
education_group,Some college,26509,0.41271921614288437,0.5088189396709886,0.5875622808636279,0.2538167938931298,0.6850777442562079
education_group,High school or lower,2722,0.36909154557230145,0.45431024301926765,0.36577708006279436,0.2761904761904762,0.7209631728045326
