feature,importance,feature_family
cardiometabolic_count,0.10344575,cardiometabolic history
age_cardiometabolic_interaction,0.07653058,engineered interactions
GenHlth,0.050878968,general health burden
poor_general_health_flag,0.027996372,general health burden
bmi_age_interaction,0.022379575,engineered interactions
health_burden_score,0.021780346,general health burden
bmi_highbp_interaction,0.021663545,engineered interactions
HighBP,0.021197353,cardiometabolic history
older_adult_flag,0.019655121,demographics
HvyAlcoholConsump,0.019514382,lifestyle
bmi_category,0.018630685,BMI/obesity
CholCheck,0.018509245,healthcare access
cholcheck_with_highchol_flag,0.018293127,healthcare access
age_band,0.01783887,demographics
low_education_flag,0.017724078,socioeconomic status
age_bmi_interaction,0.017138911,engineered interactions
NoDocbcCost,0.016789403,healthcare access
bmi_highchol_interaction,0.016569406,engineered interactions
HighChol,0.016460985,cardiometabolic history
cardio_event_history,0.016172534,cardiometabolic history
preventive_screening_gap,0.016156929,healthcare access
income_education_interaction,0.015545974,engineered interactions
high_mental_distress_flag,0.015176401,general health burden
total_unhealthy_days,0.015154194,general health burden
Veggies,0.0151294675,lifestyle
MentHlth,0.015073766,general health burden
bp_cholesterol_combo,0.014653944,cardiometabolic history
PhysActivity,0.0146381315,lifestyle
Income,0.014525376,socioeconomic status
Age,0.014512231,demographics
socioeconomic_risk_count,0.014489297,socioeconomic status
BMI,0.014438928,BMI/obesity
healthcare_access_barrier,0.014303368,healthcare access
Sex,0.014140439,demographics
DiffWalk,0.014106942,general health burden
Smoker,0.014091825,lifestyle
diet_inactivity_combo,0.0140553275,engineered interactions
limited_functioning_flag,0.014012719,general health burden
PhysHlth,0.013765902,general health burden
Education,0.013705561,socioeconomic status
Fruits,0.013020217,lifestyle
physical_inactivity_flag,0.012978595,lifestyle
healthy_diet_flag,0.012948858,lifestyle
unhealthy_lifestyle_count,0.012922111,lifestyle
Stroke,0.012775035,cardiometabolic history
AnyHealthcare,0.012697948,healthcare access
smoking_inactivity_combo,0.012659958,engineered interactions
HeartDiseaseorAttack,0.012435746,cardiometabolic history
obese_flag,0.012380861,BMI/obesity
overweight_or_obese_flag,0.012178848,BMI/obesity
low_income_flag,0.011836245,socioeconomic status
high_physical_distress_flag,0.010319621,general health burden
