2026-06-20 07:28:08,221 | INFO | nhanes_feasibility | Downloading/validating official NHANES 2015-2016 files
2026-06-20 07:28:09,415 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for DEMO_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:28:18,745 | INFO | nhanes_feasibility.download_nhanes | Downloaded DEMO_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.XPT
2026-06-20 07:28:19,647 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for DIQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:28:21,000 | INFO | nhanes_feasibility.download_nhanes | Downloaded DIQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DIQ_I.XPT
2026-06-20 07:28:22,022 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for BMX_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:28:22,971 | INFO | nhanes_feasibility.download_nhanes | Downloaded BMX_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BMX_I.XPT
2026-06-20 07:28:23,718 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for BPX_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:28:41,141 | INFO | nhanes_feasibility.download_nhanes | Downloaded BPX_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BPX_I.XPT
2026-06-20 07:28:42,230 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for BPQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:28:46,716 | INFO | nhanes_feasibility.download_nhanes | Downloaded BPQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BPQ_I.XPT
2026-06-20 07:28:47,724 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for MCQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:30:48,165 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for MCQ_I.XPT: ReadTimeout: HTTPSConnectionPool(host='wwwn.cdc.gov', port=443): Read timed out. (read timeout=120)
2026-06-20 07:30:53,831 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for PAQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:30:56,431 | INFO | nhanes_feasibility.download_nhanes | Downloaded PAQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAQ_I.XPT
2026-06-20 07:30:57,280 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for SMQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:30:58,437 | INFO | nhanes_feasibility.download_nhanes | Downloaded SMQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/SMQ_I.XPT
2026-06-20 07:30:59,416 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for ALQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:00,416 | INFO | nhanes_feasibility.download_nhanes | Downloaded ALQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/ALQ_I.XPT
2026-06-20 07:31:01,192 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for DBQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:02,479 | INFO | nhanes_feasibility.download_nhanes | Downloaded DBQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DBQ_I.XPT
2026-06-20 07:31:31,967 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for HIQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
