component,filename,variable,dtype,non_missing,missing_pct
demographics,DEMO_I.XPT,SEQN,float64,9971,0.0
demographics,DEMO_I.XPT,SDDSRVYR,float64,9971,0.0
demographics,DEMO_I.XPT,RIDSTATR,float64,9971,0.0
demographics,DEMO_I.XPT,RIAGENDR,float64,9971,0.0
demographics,DEMO_I.XPT,RIDAGEYR,float64,9971,0.0
demographics,DEMO_I.XPT,RIDAGEMN,float64,695,0.9302978638050347
demographics,DEMO_I.XPT,RIDRETH1,float64,9971,0.0
demographics,DEMO_I.XPT,RIDRETH3,float64,9971,0.0
demographics,DEMO_I.XPT,RIDEXMON,float64,9544,0.04282419015143917
demographics,DEMO_I.XPT,RIDEXAGM,float64,4060,0.5928191756092669
demographics,DEMO_I.XPT,DMQMILIZ,float64,6149,0.3833116036505867
demographics,DEMO_I.XPT,DMQADFC,float64,527,0.9471467255039615
demographics,DEMO_I.XPT,DMDBORN4,float64,9971,0.0
demographics,DEMO_I.XPT,DMDCITZN,float64,9969,0.00020058168689198675
demographics,DEMO_I.XPT,DMDYRSUS,float64,2236,0.7757496740547588
demographics,DEMO_I.XPT,DMDEDUC3,float64,2647,0.7345301373984555
demographics,DEMO_I.XPT,DMDEDUC2,float64,5719,0.4264366663323639
demographics,DEMO_I.XPT,DMDMARTL,float64,5719,0.4264366663323639
demographics,DEMO_I.XPT,RIDEXPRG,float64,1288,0.8708253936415605
demographics,DEMO_I.XPT,SIALANG,float64,9971,0.0
demographics,DEMO_I.XPT,SIAPROXY,float64,9970,0.00010029084344599338
demographics,DEMO_I.XPT,SIAINTRP,float64,9971,0.0
demographics,DEMO_I.XPT,FIALANG,float64,9642,0.03299568749373182
demographics,DEMO_I.XPT,FIAPROXY,float64,9642,0.03299568749373182
demographics,DEMO_I.XPT,FIAINTRP,float64,9642,0.03299568749373182
demographics,DEMO_I.XPT,MIALANG,float64,6977,0.30027078527730416
demographics,DEMO_I.XPT,MIAPROXY,float64,6978,0.3001704944338582
demographics,DEMO_I.XPT,MIAINTRP,float64,6978,0.3001704944338582
demographics,DEMO_I.XPT,AIALANGA,float64,5962,0.40206599137498744
demographics,DEMO_I.XPT,DMDHHSIZ,float64,9971,0.0
demographics,DEMO_I.XPT,DMDFMSIZ,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHHSZA,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHHSZB,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHHSZE,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHRGND,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHRAGE,float64,9971,0.0
demographics,DEMO_I.XPT,DMDHRBR4,float64,9575,0.03971517400461338
demographics,DEMO_I.XPT,DMDHREDU,float64,9575,0.03971517400461338
