component,filename,status,source_url,reason
demographics,DEMO_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.XPT,valid cached XPT
diabetes_questionnaire,DIQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DIQ_I.XPT,valid cached XPT
body_measures,BMX_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BMX_I.XPT,valid cached XPT
blood_pressure_exam,BPX_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BPX_I.XPT,valid cached XPT
blood_pressure_questionnaire,BPQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BPQ_I.XPT,valid cached XPT
medical_conditions,MCQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/MCQ_I.XPT,valid cached XPT
physical_activity,PAQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAQ_I.XPT,valid cached XPT
smoking,SMQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/SMQ_I.XPT,valid cached XPT
alcohol,ALQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/ALQ_I.XPT,valid cached XPT
diet,DBQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DBQ_I.XPT,valid cached XPT
health_insurance,HIQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/HIQ_I.XPT,valid cached XPT
income,INQ_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/INQ_I.XPT,valid cached XPT
glycohemoglobin,GHB_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GHB_I.XPT,valid cached XPT
fasting_glucose,GLU_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GLU_I.XPT,valid cached XPT
ogtt,OGTT_I.XPT,available,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/OGTT_I.XPT,valid cached XPT
