variable,dtype,non_missing,missing,missing_pct,unique_non_missing
BMIHEAD,float64,0,9971,1.0,0
MCQ230D,float64,0,9971,1.0,0
MCQ240D,float64,0,9971,1.0,0
MCQ240I,float64,0,9971,1.0,0
MCQ240K,float64,0,9971,1.0,0
MCQ240R,float64,0,9971,1.0,0
MCQ240Y,float64,0,9971,1.0,0
DIQ175X,float64,1,9970,0.999899709156554,1
MCQ240DK,float64,1,9970,0.999899709156554,1
MCQ240B,float64,2,9969,0.999799418313108,2
MCQ240C,float64,2,9969,0.999799418313108,2
MCQ240H,float64,2,9969,0.999799418313108,2
MCQ240V,float64,2,9969,0.999799418313108,2
MCQ240T,float64,3,9968,0.999699127469662,3
PAQ724M,float64,3,9968,0.999699127469662,1
SMQ665B,float64,3,9968,0.999699127469662,3
SMQ665D,float64,3,9968,0.999699127469662,1
DIQ175W,float64,4,9967,0.9995988366262161,1
HIQ031AA,float64,4,9967,0.9995988366262161,1
MCQ240AA,float64,4,9967,0.9995988366262161,4
MCQ240Q,float64,4,9967,0.9995988366262161,4
MCQ240Z,float64,4,9967,0.9995988366262161,4
PAQ724L,float64,4,9967,0.9995988366262161,1
SMQ665C,float64,4,9967,0.9995988366262161,1
PAQ724G,float64,5,9966,0.9994985457827701,1
PAQ759C,float64,5,9966,0.9994985457827701,1
DBQ073D,float64,6,9965,0.999398254939324,1
HIQ031G,float64,6,9965,0.999398254939324,1
MCQ240M,float64,6,9965,0.999398254939324,6
MCQ230C,float64,8,9963,0.999197673252432,7
MCQ240J,float64,8,9963,0.999197673252432,8
PAQ724O,float64,8,9963,0.999197673252432,1
PAQ759R,float64,8,9963,0.999197673252432,1
SMQ665A,float64,8,9963,0.999197673252432,4
DIQ175V,float64,11,9960,0.9988968007220941,1
MCQ240O,float64,11,9960,0.9988968007220941,10
PAQ759F,float64,11,9960,0.9988968007220941,1
PAQ759T,float64,11,9960,0.9988968007220941,1
PAQ759O,float64,12,9959,0.9987965098786481,1
PAQ759U,float64,12,9959,0.9987965098786481,1
MCQ240BB,float64,13,9958,0.9986962190352021,12
MCQ240L,float64,13,9958,0.9986962190352021,12
PAQ724AF,float64,13,9958,0.9986962190352021,1
PAQ759I,float64,13,9958,0.9986962190352021,1
PAQ759H,float64,14,9957,0.9985959281917561,1
MCQ240N,float64,15,9956,0.9984956373483101,12
PAQ724I,float64,16,9955,0.9983953465048641,1
PAQ724AC,float64,17,9954,0.9982950556614181,1
MCQ240S,float64,21,9950,0.9978938922876341,16
MCQ240A,float64,22,9949,0.9977936014441882,14
MCQ240F,float64,22,9949,0.9977936014441882,17
PAQ724Y,float64,22,9949,0.9977936014441882,1
DIQ175R,float64,23,9948,0.9976933106007422,1
SMQ661,float64,24,9947,0.9975930197572962,7
PAQ759L,float64,27,9944,0.9972921472269581,1
DIQ175K,float64,31,9940,0.9968909838531742,1
DIQ175S,float64,31,9940,0.9968909838531742,1
BMIRECUM,float64,33,9938,0.9966904021662822,1
MCQ240CC,float64,33,9938,0.9966904021662822,29
MCQ240DD,float64,33,9938,0.9966904021662822,24
PAQ724X,float64,33,9938,0.9966904021662822,1
PAQ724E,float64,35,9936,0.9964898204793903,1
MCQ240G,float64,36,9935,0.9963895296359443,20
DBQ073E,float64,39,9932,0.9960886571056062,1
PAQ772B,float64,39,9932,0.9960886571056062,1
MCQ240P,float64,44,9927,0.9955872028883763,28
PAQ759G,float64,47,9924,0.9952863303580383,1
HIQ031C,float64,48,9923,0.9951860395145923,1
PAQ724CM,float64,49,9922,0.9950857486711463,1
MCQ151,float64,50,9921,0.9949854578277003,3
PAQ724P,float64,51,9920,0.9948851669842543,1
DIQ175F,float64,53,9918,0.9946845852973624,1
MCQ240X,float64,54,9917,0.9945842944539164,27
PAQ724Z,float64,55,9916,0.9944840036104704,1
PAQ759K,float64,55,9916,0.9944840036104704,1
PAQ724R,float64,57,9914,0.9942834219235783,1
PAQ759D,float64,57,9914,0.9942834219235783,1
DBQ073U,float64,59,9912,0.9940828402366864,1
DIQ175L,float64,59,9912,0.9940828402366864,1
PAQ724U,float64,62,9909,0.9937819677063484,1
SMD630,float64,62,9909,0.9937819677063484,9
SMQ080,float64,62,9909,0.9937819677063484,11
DBQ073C,float64,63,9908,0.9936816768629024,1
MCQ230B,float64,63,9908,0.9936816768629024,20
PAQ724K,float64,66,9905,0.9933808043325645,1
PAQ772A,float64,71,9900,0.9928793501153345,2
PAQ759P,float64,76,9895,0.9923778958981045,1
DIQ175I,float64,77,9894,0.9922776050546586,1
PAQ759N,float64,78,9893,0.9921773142112125,1
DIQ175U,float64,79,9892,0.9920770233677665,1
MCQ240W,float64,82,9889,0.9917761508374285,38
PAQ772C,float64,82,9889,0.9917761508374285,1
PAQ724AB,float64,83,9888,0.9916758599939826,1
MCQ240E,float64,86,9885,0.9913749874636446,42
PAQ759M,float64,88,9883,0.9911744057767525,1
PAQ759Q,float64,89,9882,0.9910741149333065,1
HIQ031E,float64,97,9874,0.9902717881857387,1
MCQ240U,float64,97,9874,0.9902717881857387,31
PAQ724N,float64,100,9871,0.9899709156554006,1
BMIHT,float64,105,9866,0.9894694614381707,2
DIQ175T,float64,105,9866,0.9894694614381707,1
DIQ175N,float64,109,9862,0.9890682980643867,1
PAQ724A,float64,114,9857,0.9885668438471568,2
DIQ175P,float64,117,9854,0.9882659713168188,1
MCQ180G,float64,125,9846,0.9874636445692508,49
MCQ180D,float64,133,9838,0.9866613178216829,51
DIQ175O,float64,134,9837,0.9865610269782369,1
PAQ759A,float64,135,9836,0.9864607361347909,2
DIQ175Q,float64,136,9835,0.9863604452913449,1
DIQ175M,float64,138,9833,0.986159863604453,1
PAQ724J,float64,138,9833,0.986159863604453,1
DIQ175J,float64,150,9821,0.9849563734831009,1
DIQ175E,float64,155,9816,0.984454919265871,1
DIQ175C,float64,160,9811,0.983953465048641,1
PAQ759E,float64,160,9811,0.983953465048641,1
PAQ759S,float64,163,9808,0.9836525925183031,1
PAQ724T,float64,166,9805,0.9833517199879651,1
MCQ206,float64,174,9797,0.9825493932403971,57
PAQ724AE,float64,207,9764,0.9792397954066794,1
MCQ180F,float64,209,9762,0.9790392137197874,57
DBQ223E,float64,210,9761,0.9789389228763414,1
HIQ260,float64,212,9759,0.9787383411894494,3
PAQ759J,float64,213,9758,0.9786380503460034,1
MCQ180B,float64,214,9757,0.9785377595025574,53
BMXHEAD,float64,215,9756,0.9784374686591114,86
PAQ724B,float64,233,9738,0.9766322334770835,1
PEASCCT1,float64,236,9735,0.9763313609467456,3
MCQ180C,float64,244,9727,0.9755290341991776,51
DIQ060U,float64,249,9722,0.9750275799819477,2
MCQ180E,float64,251,9720,0.9748269982950557,54
DBQ073B,float64,253,9718,0.9746264166081636,1
DID060,float64,256,9715,0.9743255440778257,36
