feature,source_group,type,non_missing,missing_pct
RIDAGEYR,demographics,numeric,5719,0.0
RIAGENDR,demographics,categorical,5719,0.0
RIDRETH3,demographics,categorical,5719,0.0
DMDEDUC2,demographics,categorical,5719,0.0
INDFMPIR,demographics,numeric,5082,0.11138310893512852
HIQ011,demographics,categorical,5719,0.0
BMXHT,anthropometrics,numeric,5417,0.05280643469137961
BMXWT,anthropometrics,numeric,5410,0.054030424899457946
BMXBMI,anthropometrics,numeric,5406,0.05472984787550271
BMXWAIST,anthropometrics,numeric,5116,0.10543801363874804
BPXSY1,vitals,numeric,5152,0.09914320685434516
BPXSY2,vitals,numeric,5279,0.07693652736492394
BPXSY3,vitals,numeric,5254,0.0813079209652037
BPXSY4,vitals,numeric,238,0.9583843329253366
BPXDI1,vitals,numeric,5152,0.09914320685434516
BPXDI2,vitals,numeric,5279,0.07693652736492394
BPXDI3,vitals,numeric,5254,0.0813079209652037
BPXDI4,vitals,numeric,238,0.9583843329253366
BPXPLS,vitals,numeric,5323,0.06924287462843154
BPQ020,medical_history,categorical,5719,0.0
BPQ080,medical_history,categorical,5719,0.0
BPQ040A,medical_history,categorical,2070,0.6380486098968351
BPQ090D,medical_history,categorical,4434,0.22468963105438014
MCQ160B,medical_history,categorical,5719,0.0
MCQ160C,medical_history,categorical,5719,0.0
MCQ160D,medical_history,categorical,5719,0.0
MCQ160E,medical_history,categorical,5719,0.0
MCQ160F,medical_history,categorical,5719,0.0
SMQ020,lifestyle,categorical,5719,0.0
SMQ040,lifestyle,categorical,2387,0.5826193390452876
PAQ605,lifestyle,categorical,5719,0.0
PAQ620,lifestyle,categorical,5719,0.0
PAQ650,lifestyle,categorical,5719,0.0
PAQ665,lifestyle,categorical,5719,0.0
PAD680,lifestyle,numeric,5708,0.0019234131841230984
ALQ101,lifestyle,categorical,4960,0.1327155097044938
ALQ130,lifestyle,numeric,3259,0.43014513026752926
ALQ141Q,lifestyle,numeric,3257,0.4304948417555517
ALQ141U,lifestyle,numeric,1283,0.7756600804336422
DBQ700,lifestyle,categorical,5719,0.0
DBD895,lifestyle,numeric,5719,0.0
DBD900,lifestyle,numeric,4364,0.2369295331351635
DBD905,lifestyle,numeric,5710,0.0015737016961007168
DBD910,lifestyle,numeric,5711,0.001398845952089526
INQ020,socioeconomic_access,categorical,5519,0.03497114880223815
INQ012,socioeconomic_access,categorical,5519,0.03497114880223815
bmi_category,engineered,categorical,5406,0.05472984787550271
waist_to_height_ratio,engineered,numeric,5112,0.1061374366147928
central_obesity_flag,engineered,numeric,5116,0.10543801363874804
age_band,engineered,categorical,5719,0.0
bmi_x_age,engineered,numeric,5406,0.05472984787550271
bmi_x_waist,engineered,numeric,5107,0.10701171533484875
avg_systolic_bp,engineered,numeric,5315,0.07064172058052107
avg_diastolic_bp,engineered,numeric,5315,0.07064172058052107
pulse_pressure,engineered,numeric,5315,0.07064172058052107
mean_arterial_pressure,engineered,numeric,5315,0.07064172058052107
hypertension_flag,engineered,numeric,5719,0.0
smoker_flag,engineered,numeric,5719,0.0
physical_inactivity_flag,engineered,numeric,5719,0.0
heavy_alcohol_flag,engineered,numeric,3259,0.43014513026752926
cholesterol_history_flag,engineered,numeric,5719,0.0
cardiovascular_history_flag,engineered,numeric,5719,0.0
cardiometabolic_history_count,engineered,numeric,5719,0.0
low_income_access_risk_flag,engineered,numeric,5719,0.0
insurance_gap_flag,engineered,numeric,5719,0.0
